id,name,abbreviation
119,Neo Geo Pocket,
125,PC-8800 Series,
133,Odyssey 2 / Videopac G7000,
135,Hyper Neo Geo 64,
142,PC-50X Family,
9,PlayStation 3,PS3
98,DEC GT40,gt40
11,Xbox,XBOX
111,Imlac PDS-1,imlac-pds1
162,Oculus VR,Oculus VR
20,Nintendo DS,NDS
18,Nintendo Entertainment System,NES
46,PlayStation Vita,Vita
308,Playdia,
116,Acorn Archimedes,Acorn Archimedes
117,Philips CD-i,Philips CDI
22,Game Boy Color,GBC
15,Commodore C64/128/MAX,C64
101,Ferranti Nimrod Computer,nimrod
67,Intellivision,intellivision
73,BlackBerry OS,blackberry
86,TurboGrafx-16/PC Engine,turbografx16
66,Atari 5200,Atari5200
108,PDP-11,pdp11
109,CDC Cyber 70,cdccyber70
113,OnLive Game System,OnLive
118,FM Towns,
121,Sharp X68000,
124,SwanCrystal,
131,Super NES CD-ROM System,
138,VC 4000,
139,1292 Advanced Programmable Video System,
152,FM-7,
155,Tatung Einstein,
157,NEC PC-6000 Series,
307,Game & Watch,G&W
114,Amiga CD32,Amiga CD32
161,Windows Mixed Reality,
374,Sharp MZ-2200,
375,Epoch Cassette Vision,
377,Plug & Play,
379,Game.com,
103,PDP-7,pdp-7
382,Intellivision Amico,
384,Oculus Quest,
385,Oculus Rift,
387,Oculus Go,
479,Terebikko / See 'n Say Video Phone,
507,Advanced Pico Beena,
508,Nintendo Switch 2,Switch 2
21,Nintendo GameCube,NGC
33,Game Boy,Game Boy
137,New Nintendo 3DS,New 3DS
42,N-Gage,NGage
57,WonderSwan,WonderSwan
38,PlayStation Portable,PSP
69,BBC Microcomputer System,bbcmicro
71,Commodore VIC-20,vic-20
74,Windows Phone,Win Phone
79,Neo Geo MVS,neogeomvs
80,Neo Geo AES,neogeoaes
84,SG-1000,sg1000
91,Bally Astrocade,astrocade
93,Commodore 16,C16
96,PDP-10,pdp10
122,Nuon,
141,AY-3-8610,
170,Google Stadia,Stadia
388,Gear VR,Gear VR
372,OOParts,
203,DUPLICATE Stadia,
164,Daydream,
380,Casio Loopy,
100,Analogue electronics,analogueelectronics
415,Watara/QuickShot Supervision,
478,Panasonic M2,
486,Digiblast,
381,Playdate,Playdate
509,Polymega,
26,ZX Spectrum,ZXS
378,Gamate,Gamate
27,MSX,MSX
37,Nintendo 3DS,3DS
169,Xbox Series X|S,Series X|S
64,Sega Master System/Mark III,SMS
95,PDP-1,pdp1
99,Family Computer,famicom
102,EDSAC,edsac
104,HP 2100,hp2100
105,HP 3000,hp3000
106,SDS Sigma 7,sdssigma7
107,Call-A-Computer time-shared mainframe computer system,call-a-computer
110,PLATO,plato
151,TRS-80 Color Computer,
166,Pokémon mini,
50,3DO Interactive Multiplayer,3DO
238,DVD Player,
239,Blu-ray Player,
240,Zeebo,
274,PC-FX,
411,Handheld Electronic LCD,Handheld
236,Exidy Sorcerer,
405,Windows Mobile,
406,Sinclair QL,
407,HyperScan,
408,Mega Duck/Cougar Boy,
409,Legacy Computer,
412,Leapster,
414,LeapTV,
417,Palm OS,
439,V.Smile,
441,PocketStation,
471,Meta Quest 3,Meta Quest 3
472,visionOS,
475,R-Zone,
476,Apple Pippin,
480,Super A'Can,
481,Tomy Tutor / Pyuta / Grandstand Tutor,
34,Android,Android
16,Amiga,Amiga
68,ColecoVision,colecovision
25,Amstrad CPC,ACPC
52,Arcade,Arcade
29,Sega Mega Drive/Genesis,Genesis/MegaDrive
47,Virtual Console,VC
7,PlayStation,PS1
416,64DD,64DD
438,Arduboy,Arduboy
59,Atari 2600,Atari2600
55,Legacy Mobile Device,Mobile
159,Nintendo DSi,
90,Commodore PET,cpet
126,TRS-80,
487,LaserActive,
4,Nintendo 64,N64
5,Wii,Wii
19,Super Nintendo Entertainment System,SNES
49,Xbox One,XONE
58,Super Famicom,SFAM
63,Atari ST/STE,Atari-ST
75,Apple II,Apple][
14,Mac,Mac
82,Web browser,browser
130,Nintendo Switch,Switch
